image_id,healthy,multiple_diseases,rust,scab
Test_0,0.45353946,0.050993953,0.25485918,0.24060735
Test_1,0.29952303,0.04160259,0.11995765,0.53891677
Test_2,0.60304326,0.014158041,0.18065949,0.20213917
Test_3,0.25714365,0.031198213,0.09454385,0.61711437
Test_4,0.0857379,0.010515286,0.063553765,0.84019303
Test_5,0.4979374,0.045893606,0.3873529,0.06881604
Test_6,0.2888375,0.008475686,0.3988214,0.3038654
Test_7,0.6823983,0.017545493,0.13270496,0.16735116
Test_8,0.31102064,0.009048313,0.19075929,0.48917183
Test_9,0.15595053,0.107311055,0.53967226,0.19706622
Test_10,0.87512636,0.007125557,0.07049485,0.04725317
Test_11,0.13449098,0.046378847,0.6942621,0.12486805
Test_12,0.45838907,0.0339772,0.1582111,0.34942266
Test_13,0.5611838,0.0027728772,0.027293606,0.40874973
Test_14,0.504512,0.04035711,0.16667396,0.28845686
Test_15,0.34928685,0.00933153,0.13496912,0.50641245
Test_16,0.7363861,0.0077144527,0.058328886,0.1975705
Test_17,0.17334607,0.034176946,0.38296434,0.40951267
Test_18,0.40749583,0.021190824,0.09141544,0.47989792
Test_19,0.1702875,0.035296354,0.4267947,0.3676215
Test_20,0.21233292,0.011972063,0.31668705,0.459008
Test_21,0.44337443,0.029891022,0.21965328,0.30708122
Test_22,0.3451882,0.051043674,0.35221234,0.25155586
Test_23,0.2670843,0.017614271,0.17386992,0.5414315
Test_24,0.41834164,0.018680807,0.39774773,0.16522987
Test_25,0.48613942,0.020740412,0.18853702,0.30458313
Test_26,0.14345153,0.021900127,0.12541948,0.70922893
Test_27,0.1704339,0.026277337,0.09340292,0.70988584
Test_28,0.36308286,0.04021167,0.27374378,0.32296172
Test_29,0.57763934,0.006667888,0.051662143,0.3640306
Test_30,0.38506633,0.0402074,0.09445158,0.48027468
Test_31,0.2700984,0.042583834,0.13361707,0.5537007
Test_32,0.614419,0.043402165,0.10890201,0.23327681
Test_33,0.0753144,0.007799281,0.1881832,0.728703
Test_34,0.31602544,0.012018115,0.23825721,0.43369928
Test_35,0.35972518,0.014232991,0.103306204,0.52273566
Test_36,0.40592337,0.033052113,0.14351428,0.41751018
Test_37,0.50368685,0.02218544,0.23960567,0.23452209
Test_38,0.18174863,0.012343367,0.119353,0.686555
Test_39,0.25872183,0.009041231,0.346796,0.38544092
Test_40,0.17885019,0.04073215,0.1818357,0.59858197
Test_41,0.27596048,0.05290888,0.46108738,0.21004331
Test_42,0.51349,0.008116619,0.32922524,0.14916812
Test_43,0.45595574,0.022238811,0.13991602,0.3818895
Test_44,0.22556014,0.016978262,0.15904383,0.59841776
Test_45,0.3908957,0.014995859,0.086210445,0.507898
Test_46,0.54071957,0.0023480987,0.09722341,0.35970894
Test_47,0.5515901,0.0018651902,0.11073491,0.3358098
Test_48,0.43214533,0.013163094,0.13420483,0.42048672
Test_49,0.35719708,0.02282809,0.31233215,0.3076427
Test_50,0.20630656,0.014727292,0.39514488,0.38382122
Test_51,0.77450156,0.02921122,0.12003779,0.07624947
Test_52,0.46189666,0.051845677,0.19983773,0.28641996
Test_53,0.7493643,0.012405099,0.06939314,0.16883743
Test_54,0.67276204,0.034687012,0.15828347,0.13426751
Test_55,0.07159362,0.012633067,0.6729286,0.24284472
Test_56,0.65465015,0.015073145,0.09827036,0.23200633
Test_57,0.39702433,0.08154368,0.18714634,0.3342856
Test_58,0.2729274,0.022340173,0.48719978,0.21753265
Test_59,0.40309682,0.015151835,0.43682036,0.14493097
Test_60,0.6855621,0.02094737,0.10850371,0.18498692
Test_61,0.43768772,0.008294446,0.3932421,0.16077577
Test_62,0.47196358,0.023484958,0.23210388,0.27244753
Test_63,0.36850378,0.09104808,0.30608782,0.23436038
Test_64,0.37362117,0.04618125,0.2541075,0.32609007
Test_65,0.2976225,0.05982774,0.16272965,0.47982013
Test_66,0.41940734,0.05068249,0.16194455,0.36796558
Test_67,0.78224605,0.0114301145,0.07468826,0.1316355
Test_68,0.3926354,0.016243313,0.37865865,0.21246272
Test_69,0.4293943,0.033824068,0.08520182,0.45157987
Test_70,0.5488199,0.03295542,0.18553934,0.23268542
Test_71,0.5128038,0.011165051,0.20211193,0.27391925
Test_72,0.52548355,0.012166153,0.13612714,0.32622313
Test_73,0.42384726,0.012536308,0.2347193,0.32889706
Test_74,0.71712524,0.0044481796,0.06554249,0.21288402
Test_75,0.6404123,0.022316108,0.124935664,0.21233594
Test_76,0.71855825,0.017655117,0.063274115,0.2005125
Test_77,0.6663378,0.015618744,0.14143966,0.17660391
Test_78,0.73687994,0.0039724535,0.18197581,0.07717188
Test_79,0.7118497,0.017607119,0.06380655,0.20673664
Test_80,0.76109475,0.016612664,0.13140139,0.09089129
Test_81,0.4144032,0.039411064,0.19960302,0.3465828
Test_82,0.405112,0.040054735,0.2855902,0.26924312
Test_83,0.30341804,0.028049026,0.5347521,0.1337809
Test_84,0.63477975,0.03128943,0.14820726,0.18572363
Test_85,0.16100574,0.020263921,0.3138318,0.5048985
Test_86,0.48577076,0.0166052,0.18210413,0.31551987
Test_87,0.16350076,0.02413077,0.12956907,0.6827994
Test_88,0.04876964,0.016950356,0.6206421,0.31363788
Test_89,0.501401,0.022488533,0.18912561,0.28698486
Test_90,0.56905824,0.013893375,0.249242,0.1678064
Test_91,0.18520717,0.03971082,0.52677524,0.24830674
Test_92,0.41523388,0.043254714,0.15625356,0.38525787
Test_93,0.39431724,0.015437211,0.3714785,0.2187671
Test_94,0.3023109,0.032557536,0.08534304,0.57978857
Test_95,0.22667186,0.00258948,0.22182278,0.5489159
Test_96,0.2708378,0.034546673,0.3464135,0.34820202
Test_97,0.3341017,0.03538216,0.4099664,0.22054978
Test_98,0.47859603,0.011998291,0.1193239,0.39008182
Test_99,0.40559506,0.0052350424,0.38980842,0.19936147
Test_100,0.56881666,0.031135922,0.20832312,0.19172426
Test_101,0.25046867,0.0038702348,0.11128415,0.6343769
Test_102,0.19364236,0.070245184,0.4213737,0.3147388
Test_103,0.21805249,0.0073028794,0.087186284,0.68745834
Test_104,0.50013286,0.013171361,0.20328861,0.2834072
Test_105,0.4752834,0.008211835,0.081918724,0.43458605
Test_106,0.6097413,0.013105234,0.17702432,0.20012914
Test_107,0.30567428,0.029689169,0.20776092,0.45687565
Test_108,0.07961114,0.0073933355,0.09988248,0.8131131
Test_109,0.23980291,0.052289758,0.30021518,0.40769216
Test_110,0.35091692,0.030762777,0.26082683,0.3574935
Test_111,0.371355,0.027726127,0.3185437,0.28237516
Test_112,0.3399496,0.07072867,0.34050414,0.24881762
Test_113,0.7620397,0.010956807,0.06877958,0.1582239
Test_114,0.5076024,0.021305855,0.20026395,0.27082777
Test_115,0.58424425,0.0041318047,0.04079131,0.37083256
Test_116,0.49046543,0.034710426,0.0959981,0.37882605
Test_117,0.28956684,0.020627726,0.49150428,0.19830105
Test_118,0.61525273,0.0043449905,0.098674424,0.28172797
Test_119,0.25369945,0.016663617,0.1282041,0.60143286
Test_120,0.4540442,0.043619324,0.13919578,0.36314067
Test_121,0.5488863,0.016450088,0.16189124,0.27277243
Test_122,0.6799624,0.010090159,0.19595157,0.11399589
Test_123,0.07145829,0.0062367516,0.28863642,0.63366854
Test_124,0.393433,0.007041552,0.15113017,0.4483952
Test_125,0.7207153,0.016205736,0.18451644,0.07856247
Test_126,0.59389436,0.0049576084,0.06257144,0.33857659
Test_127,0.48631477,0.056598336,0.35441172,0.102675155
Test_128,0.16340674,0.02967244,0.6776429,0.12927802
Test_129,0.6699919,0.009344706,0.105084114,0.21557927
Test_130,0.08254745,0.013629642,0.70672363,0.19709928
Test_131,0.6162069,0.019540949,0.17702879,0.18722336
Test_132,0.5886536,0.056364913,0.21944018,0.13554128
Test_133,0.053140435,0.01920635,0.7561249,0.17152835
Test_134,0.4608951,0.0785073,0.14790763,0.31268993
Test_135,0.56533784,0.015955376,0.07147939,0.34722748
Test_136,0.5210837,0.013601764,0.16066718,0.3046473
Test_137,0.45675159,0.02541068,0.13294618,0.3848916
Test_138,0.3441559,0.01674939,0.28899583,0.35009888
Test_139,0.1634811,0.009013161,0.038740713,0.7887651
Test_140,0.2750141,0.0288229,0.22195788,0.47420517
Test_141,0.26604977,0.028137287,0.12264389,0.5831691
Test_142,0.7990517,0.0043183966,0.059060864,0.1375691
Test_143,0.18173286,0.016699988,0.06266577,0.7389013
Test_144,0.23351033,0.024586722,0.20838106,0.53352195
Test_145,0.50730634,0.012814425,0.07405126,0.40582794
Test_146,0.24585237,0.023943443,0.17610426,0.5541
Test_147,0.40307477,0.010526456,0.15275542,0.4336433
Test_148,0.3855292,0.018477052,0.22274108,0.37325272
Test_149,0.21298756,0.02307449,0.16060644,0.6033315
Test_150,0.79234815,0.0068817614,0.022372263,0.17839782
Test_151,0.5541276,0.03862684,0.24467213,0.16257349
Test_152,0.12114354,0.00699998,0.04316577,0.8286907
Test_153,0.22133665,0.097202145,0.4942103,0.1872509
Test_154,0.44265187,0.03614299,0.095960364,0.42524475
Test_155,0.80950415,0.010361247,0.07095668,0.10917798
Test_156,0.49705163,0.03422116,0.16588011,0.30284715
Test_157,0.23342168,0.026920747,0.08719724,0.65246034
Test_158,0.27814275,0.05052013,0.31626,0.3550771
Test_159,0.5815369,0.015047618,0.07158335,0.3318322
