image_id,healthy,multiple_diseases,rust,scab
Test_0,0.9198841,0.010956152,0.027638188,0.041521598
Test_1,0.19719586,0.053091727,0.036197264,0.7135151
Test_2,0.6021407,0.0054710414,0.17511278,0.21727546
Test_3,0.47138584,0.027626455,0.07656913,0.4244186
Test_4,0.32305214,0.15385662,0.39114675,0.13194458
Test_5,0.9970469,0.0004976005,0.0011589873,0.0012965504
Test_6,0.016673502,0.00885656,0.9408795,0.03359038
Test_7,0.49483272,0.021073936,0.47069815,0.01339529
Test_8,0.8381226,0.042553715,0.08205144,0.037272226
Test_9,0.32869482,0.014640833,0.6481239,0.008540383
Test_10,0.95078933,0.020441927,0.0064348835,0.02233375
Test_11,0.80736315,0.003756985,0.0019545157,0.18692534
Test_12,0.9725955,0.0035339086,0.00020946623,0.023661066
Test_13,0.95901406,0.010376372,0.013258066,0.01735156
Test_14,0.984228,0.004749766,0.0016274785,0.009394821
Test_15,0.93707484,0.003654428,0.05772403,0.0015467242
Test_16,0.056480687,0.021225814,0.8773085,0.044985
Test_17,0.8286283,0.044781927,0.11030597,0.016283857
Test_18,0.96837294,0.015609888,0.0064542647,0.009562886
Test_19,0.8415151,0.038618818,0.016565425,0.10330064
Test_20,0.14840885,0.02359475,0.8100551,0.017941331
Test_21,0.71184003,0.023235774,0.018979847,0.24594429
Test_22,0.96278226,0.010622711,0.00755659,0.019038534
Test_23,0.1651508,0.020592244,0.011139944,0.80311704
Test_24,0.6505492,0.029430715,0.29825792,0.02176219
Test_25,0.049680255,0.05608816,0.8187174,0.07551418
Test_26,0.12231934,0.11345403,0.1536429,0.6105837
Test_27,0.20416637,0.0034533483,0.787053,0.005327311
Test_28,0.7718345,0.027769271,0.12576807,0.07462816
Test_29,0.003130466,0.02102712,0.9604881,0.015354367
Test_30,0.7633653,0.04029652,0.09238289,0.10395517
Test_31,0.9711741,0.00095446885,0.006777657,0.021093693
Test_32,0.44461098,0.035040017,0.44982064,0.07052837
Test_33,0.29463792,0.095528826,0.015522366,0.5943109
Test_34,0.369017,0.09317884,0.14385556,0.39394858
Test_35,0.9882583,0.0010655299,0.0005122085,0.01016393
Test_36,0.15162416,0.02380065,0.8033513,0.02122383
Test_37,0.00024879293,0.00046303976,0.9986767,0.00061145093
Test_38,0.6334905,0.029060628,0.1006272,0.23682165
Test_39,0.8067022,0.005147034,0.0045761424,0.18357462
Test_40,0.68649375,0.089576714,0.19274877,0.031180706
Test_41,0.91485447,0.012025477,0.02115928,0.051960725
Test_42,0.97235143,0.011849642,0.0072554043,0.008543658
Test_43,0.50342256,0.019115856,0.43131426,0.04614731
Test_44,0.00026791333,8.073969e-05,0.9984275,0.0012239261
Test_45,0.9148589,0.009044329,0.006330772,0.06976602
Test_46,0.9903681,0.0012021542,0.0022231403,0.0062067565
Test_47,0.8044762,0.015580513,0.17013364,0.009809704
Test_48,0.04261572,0.008270081,0.030394131,0.91872007
Test_49,0.8037492,0.016331172,0.11456787,0.06535179
Test_50,0.98364323,0.00016234895,0.0124157155,0.003778726
Test_51,0.8249435,0.013370331,0.017343625,0.1443425
Test_52,0.99496174,0.00058999076,0.0007078053,0.0037404194
Test_53,0.5164947,0.021246033,0.42669696,0.03556232
Test_54,0.00078235846,0.0005666497,0.9983065,0.000344577
Test_55,0.8878041,0.028441189,0.053867556,0.029887168
Test_56,0.79402065,0.00813348,0.18894862,0.0088972235
Test_57,0.0014142093,0.0016663617,0.9933467,0.0035727224
Test_58,0.8703031,0.010077805,0.026527219,0.09309188
Test_59,0.34442768,0.02013662,0.61399436,0.021441322
Test_60,0.8990878,0.0047859834,0.008651139,0.08747511
Test_61,0.5570109,0.025350375,0.34912392,0.06851475
Test_62,0.79627573,0.054791264,0.05140338,0.09752955
Test_63,0.9413353,0.011032983,0.0034127925,0.04421896
Test_64,0.7311335,0.046689518,0.029715039,0.19246188
Test_65,0.001709926,0.0050356803,0.9872802,0.0059742075
Test_66,0.102510266,0.0029697467,0.005533158,0.8889869
Test_67,0.8953594,0.009319996,0.0922063,0.0031142815
Test_68,0.67663527,0.029213453,0.07926441,0.21488684
Test_69,0.83909357,0.032191597,0.068123095,0.06059167
Test_70,0.38266698,0.02775704,0.1526651,0.43691096
Test_71,0.37349632,0.038722105,0.47800362,0.10977795
Test_72,0.8939488,0.018666528,0.021969447,0.06541535
Test_73,0.63364977,0.013133144,0.0061575365,0.34705952
Test_74,0.0043176343,0.0014746105,0.0012772802,0.9929304
Test_75,0.7614388,0.023989685,0.022973206,0.1915984
Test_76,0.75144553,0.025945459,0.14427859,0.078330465
Test_77,0.06159138,0.023471566,0.017959986,0.896977
Test_78,0.19304706,0.029588735,0.6340835,0.14328071
Test_79,0.84976596,0.0135364495,0.12027793,0.016419712
Test_80,0.9202137,0.013150325,0.055763606,0.010872376
Test_81,0.883142,0.032722775,0.024905674,0.059229564
Test_82,0.72893035,0.032752536,0.09759272,0.14072438
Test_83,0.4295154,0.08702229,0.3133376,0.17012477
Test_84,0.21838577,0.009738737,0.025839668,0.7460358
Test_85,0.92140204,0.027911514,0.028685318,0.02200118
Test_86,0.9734659,0.0045407363,0.0085652005,0.013428001
Test_87,0.018677324,0.0009509351,0.9791148,0.0012569671
Test_88,0.87868315,0.007213981,0.10889296,0.0052098865
