image_id,healthy,multiple_diseases,rust,scab
Test_0,0.37583694,0.032140546,0.5155574,0.076465085
Test_1,0.118097596,0.011356718,0.8262449,0.0443008
Test_2,0.8899786,0.015948236,0.04469639,0.0493768
Test_3,0.002371546,0.030404937,0.04736328,0.9198602
Test_4,0.012674904,0.019701807,0.0042194314,0.9634039
Test_5,0.40025738,0.016679632,0.028631179,0.55443186
Test_6,0.2452504,0.08583822,0.21402675,0.45488465
Test_7,0.40304774,0.015452222,0.07441264,0.5070874
Test_8,0.35361236,0.03688108,0.48987976,0.11962676
Test_9,0.0022915415,0.21277022,0.03848589,0.7464524
Test_10,0.14492786,0.16637807,0.18464294,0.50405115
Test_11,0.3181022,0.042424075,0.46118626,0.17828748
Test_12,0.023151103,0.016061964,0.056407362,0.90437955
Test_13,0.93021584,0.00022194865,0.022141209,0.047420964
Test_14,0.9185709,0.013120904,0.036519308,0.03178892
Test_15,0.9249832,0.024328824,0.010223799,0.040464256
Test_16,0.54611886,0.010249968,0.42060396,0.023027187
Test_17,0.00782295,0.04385482,0.9057382,0.04258414
Test_18,0.038619194,0.2230863,0.16381384,0.57448065
Test_19,0.7730204,0.013797653,0.074516356,0.13866565
Test_20,0.31039822,0.028511472,0.1723386,0.48875165
Test_21,0.55584496,0.017375534,0.12428247,0.30249703
Test_22,0.21070652,0.07061249,0.17979906,0.53888196
Test_23,0.1471131,0.14072335,0.032285403,0.6798782
Test_24,3.572411e-05,0.0032936558,0.9950079,0.0016627789
Test_25,0.8350623,0.009569135,0.013308069,0.14206038
Test_26,0.00052013446,0.038241427,0.9602647,0.00097383483
Test_27,0.05205055,0.13353942,0.5437721,0.27063793
Test_28,0.18970942,0.043171424,0.4569419,0.31017724
Test_29,0.8554927,0.046042386,0.013111225,0.08535369
Test_30,0.026532978,0.008849416,0.91745275,0.047164913
Test_31,0.053646956,0.09101873,0.20578316,0.6495512
Test_32,0.85478014,0.0103818895,0.07865347,0.056184575
Test_33,0.81049824,0.0019260716,0.036761858,0.1508138
Test_34,0.89598256,0.00684896,0.034777895,0.062390607
Test_35,0.21587726,0.0861644,0.5116119,0.18634649
Test_36,0.80848694,0.012337762,0.031051671,0.1481237
Test_37,0.49474108,0.12071944,0.24991566,0.13462386
Test_38,0.90560937,0.0034518496,0.043644294,0.04729446
Test_39,0.08559983,0.11309551,0.10481055,0.69649404
Test_40,0.00019683817,0.00835835,0.99113995,0.0003048832
Test_41,0.0072647994,0.0025549969,0.0005077714,0.9896724
Test_42,0.18842573,0.040410016,0.74004674,0.031117532
Test_43,0.016209306,0.021610346,0.89742976,0.064750575
Test_44,0.12051913,0.09050806,0.17020686,0.61876595
Test_45,0.008996666,0.0012579783,0.0016331169,0.98811215
Test_46,0.0903894,0.061925773,0.66540504,0.18227983
Test_47,0.012888546,0.110606164,0.786464,0.09004131
Test_48,0.8287872,0.012709209,0.032277904,0.12622568
Test_49,0.19778061,0.038308114,0.08657566,0.6773356
Test_50,0.0013078086,0.53406215,0.38751853,0.07711154
Test_51,0.593117,0.0064881,0.028475493,0.37191942
Test_52,0.32017103,0.06518949,0.20829752,0.4063419
Test_53,0.14159755,0.18741709,0.32714263,0.34384274
Test_54,0.5210568,0.07535693,0.21873373,0.18485261
Test_55,0.04120982,0.07589677,0.73120576,0.15168773
Test_56,0.04337276,0.017812839,0.46535408,0.47346026
Test_57,0.023035329,0.027476983,0.022237571,0.9272501
Test_58,0.67228013,0.029350197,0.2665885,0.031781107
Test_59,0.05133183,0.1973393,0.07276053,0.6785683
Test_60,0.29091182,0.18475525,0.08492329,0.43940964
Test_61,0.0018703804,0.41299084,0.21075626,0.37438256
Test_62,0.22664128,0.035567887,0.105074346,0.63271654
Test_63,0.9151032,0.006262374,0.022483632,0.056150805
Test_64,0.92319137,0.0018377624,0.049134634,0.025836276
Test_65,0.0023471767,0.13566971,0.26425952,0.59772354
Test_66,0.65272576,0.013302419,0.04258844,0.29138348
Test_67,0.8722638,0.017415619,0.02677336,0.083547235
Test_68,0.042326514,0.035166647,0.735697,0.18680994
Test_69,0.0021330356,0.007346845,0.0014601758,0.9890599
Test_70,0.057561997,0.05911973,0.840587,0.042731285
Test_71,0.5155301,0.0037555739,0.4744142,0.0063001155
Test_72,0.83378917,0.01406891,0.006651827,0.14549008
Test_73,0.008288331,0.081339225,0.8921102,0.018262193
Test_74,0.00028825033,0.015387007,0.9840522,0.00027249384
Test_75,0.0920684,0.02160304,0.2636574,0.6226711
Test_76,0.0035899733,0.00094763585,0.001210293,0.9942521
Test_77,0.5273173,0.0083926525,0.30062044,0.16366969
Test_78,0.0038837085,0.052729603,0.8945697,0.048817094
Test_79,0.107805155,0.031274613,0.019670766,0.84124947
Test_80,0.0054288623,0.24727246,0.60933185,0.13796684
Test_81,0.21901731,0.0928767,0.16639493,0.52171105
Test_82,0.06262645,0.023691194,0.010378644,0.90330374
Test_83,0.0051857284,0.01465018,0.97448856,0.0056754528
Test_84,0.0121889105,0.33369878,0.24118814,0.4129241
Test_85,0.0019080612,0.030315222,0.95661855,0.0111581795
Test_86,0.61287755,0.024612112,0.15556271,0.20694761
Test_87,0.8955225,0.011912592,0.02125262,0.07131228
