image_id,healthy,multiple_diseases,rust,scab
Test_0,0.0045190384,0.006966094,0.8234024,0.16511244
Test_1,0.12158336,0.016654322,0.33767185,0.5240905
Test_2,0.22717632,0.008742445,0.18446639,0.5796148
Test_3,0.2108456,0.028858604,0.6671183,0.09317747
Test_4,0.50626177,0.00850052,0.41565648,0.06958121
Test_5,0.27333543,0.06485156,0.48934442,0.17246869
Test_6,0.77923876,0.020347625,0.14700934,0.053404227
Test_7,0.031386275,0.02083417,0.8244657,0.123313814
Test_8,0.024688376,0.004530484,0.0128220385,0.95795906
Test_9,0.005087158,0.008224806,0.9434024,0.04328566
Test_10,0.026084375,0.017040458,0.09865016,0.858225
Test_11,0.04567697,0.041497737,0.80701745,0.1058079
Test_12,0.20775333,0.004789055,0.1830795,0.60437804
Test_13,0.6626328,0.024431357,0.2128923,0.10004352
Test_14,0.008591153,0.02022096,0.9212573,0.049930576
Test_15,0.67126125,0.0058331476,0.20195831,0.12094725
Test_16,0.6359556,0.021915795,0.18123816,0.1608905
Test_17,0.08452108,0.020564664,0.6357125,0.25920174
Test_18,0.010491062,0.011517581,0.9501547,0.027836684
Test_19,0.10902319,0.01938641,0.29656714,0.5750233
Test_20,0.047641363,0.02236405,0.086240016,0.8437546
Test_21,0.13914147,0.022668868,0.73669124,0.10149845
Test_22,0.63142294,0.019703282,0.1656025,0.18327118
Test_23,0.07877403,0.017686192,0.75508964,0.14845017
Test_24,0.10217726,0.014764198,0.7864471,0.09661145
Test_25,0.8488329,0.0070896945,0.08861275,0.0554647
Test_26,0.5762046,0.012735751,0.30491987,0.10613985
Test_27,0.70929223,0.018606106,0.097478315,0.17462333
Test_28,0.27150935,0.031598937,0.4348978,0.26199389
Test_29,0.12898478,0.09302299,0.47940043,0.29859185
Test_30,0.0026358063,0.005927404,0.9818257,0.009611102
Test_31,0.12281804,0.045917213,0.24588855,0.5853762
Test_32,0.45501798,0.037347063,0.20824791,0.29938704
Test_33,0.3639621,0.030017395,0.04499083,0.5610296
Test_34,0.16163832,0.011415376,0.1670373,0.65990907
Test_35,0.77327454,0.0037753386,0.07600531,0.14694493
Test_36,0.48952025,0.012674087,0.42086598,0.07693969
Test_37,0.5557262,0.035800446,0.20246896,0.20600435
Test_38,0.08450714,0.04582309,0.19968241,0.6699874
Test_39,0.054650266,0.040772438,0.49387568,0.41070157
Test_40,0.2717261,0.058206726,0.5735478,0.09651943
Test_41,0.60593545,0.035720456,0.11221396,0.24613012
Test_42,0.17307045,0.030179773,0.24612768,0.5506221
Test_43,0.043549452,0.015162473,0.09374464,0.84754336
Test_44,0.035786983,0.007389331,0.2609608,0.6958629
Test_45,0.08086289,0.01609265,0.6144369,0.28860754
Test_46,0.6980549,0.0028949096,0.23037176,0.06867855
Test_47,0.06513596,0.014307043,0.59794754,0.32260948
Test_48,0.03936475,0.044402868,0.08610038,0.83013195
Test_49,0.0049845446,0.0170902,0.9268587,0.05106659
Test_50,0.06824307,0.039799396,0.7637311,0.1282264
Test_51,0.008715455,0.019169336,0.7004104,0.27170476
Test_52,0.012216969,0.001185395,0.98091996,0.005677654
Test_53,0.03452984,0.038518257,0.77039367,0.15655823
Test_54,0.0966111,0.008782045,0.027531357,0.8670755
Test_55,0.018279536,0.03640169,0.8015663,0.14375243
Test_56,0.01261012,0.0019492557,0.9825737,0.0028668682
Test_57,0.037561424,0.01711324,0.9146754,0.030650033
Test_58,0.31723505,0.030749433,0.22439648,0.42761904
Test_59,0.43189657,0.022926657,0.26857656,0.27660024
Test_60,0.06487457,0.054270875,0.20399524,0.67685926
Test_61,0.195371,0.034968328,0.11967145,0.6499892
Test_62,0.14988397,0.06181709,0.38276196,0.40553704
Test_63,0.036374014,0.012223558,0.9276278,0.02377454
Test_64,0.12431189,0.036235716,0.69280833,0.146644
Test_65,0.24698251,0.037321787,0.2374258,0.47826988
Test_66,0.07093916,0.028524,0.61776346,0.28277338
Test_67,0.29742286,0.019572329,0.06453676,0.618468
Test_68,0.60696375,0.01661813,0.20026785,0.17615028
Test_69,0.39949167,0.012084562,0.16262744,0.4257963
Test_70,0.13582143,0.026199725,0.59611946,0.24185936
Test_71,0.19463708,0.01294725,0.09819936,0.6942163
Test_72,0.4997225,0.008965018,0.17101485,0.32029766
Test_73,0.80715746,0.0017792172,0.14242533,0.048637982
Test_74,0.03793473,0.011906542,0.13295083,0.8172079
Test_75,0.24795777,0.031706724,0.13385625,0.58647925
Test_76,0.17769718,0.0077923075,0.061512448,0.7529981
Test_77,0.020128248,0.022009674,0.9114978,0.04636424
Test_78,0.043312576,0.023043403,0.6112301,0.3224139
Test_79,0.07816885,0.04172487,0.60852534,0.27158096
Test_80,0.042832237,0.013595787,0.9150908,0.028481148
Test_81,0.14625052,0.03047196,0.5984732,0.2248044
Test_82,0.032970376,0.020358015,0.8142542,0.13241737
Test_83,0.35831583,0.016991237,0.33200553,0.29268736
Test_84,0.054436326,0.039472703,0.19122137,0.7148696
Test_85,0.5865358,0.017392943,0.16978261,0.22628868
Test_86,0.08166654,0.046568274,0.5761421,0.29562318
Test_87,0.029881364,0.005410202,0.917573,0.047135398
Test_88,0.0074193836,0.00224051,0.9688955,0.021444635
Test_89,0.017812068,0.03190531,0.8173849,0.1328978
Test_90,0.081090525,0.011847768,0.80619353,0.10086823
Test_91,0.7165385,0.016246064,0.16295104,0.10426434
Test_92,0.2740993,0.0045177275,0.67247343,0.048909508
Test_93,0.0019708804,0.0031359233,0.97751427,0.017378975
Test_94,0.13894959,0.09110811,0.52410305,0.24583933
Test_95,0.04778166,0.03941927,0.7222695,0.19052958
Test_96,0.015736988,0.0023794242,0.9488755,0.03300806
Test_97,0.640318,0.0151090035,0.09600629,0.24856675
Test_98,0.4447577,0.039939784,0.13660754,0.37869498
Test_99,0.2106098,0.012123375,0.3783977,0.3988691
Test_100,0.52961653,0.024330145,0.09092605,0.35512722
Test_101,0.09830183,0.045725524,0.6350154,0.22095715
Test_102,0.47652274,0.009577862,0.24895853,0.2649409
Test_103,0.02862925,0.00692334,0.041722696,0.9227248
Test_104,0.20179234,0.011883299,0.62646276,0.15986156
Test_105,0.05323757,0.0022368615,0.87033564,0.07418997
Test_106,0.03200054,0.050887007,0.5863349,0.3307776
Test_107,0.0031294387,0.0013159957,0.9790107,0.016543902
Test_108,0.051617548,0.03481353,0.6681024,0.24546647
Test_109,0.23965344,0.021125322,0.6894871,0.04973417
Test_110,0.00891282,0.0069437874,0.031591598,0.9525518
Test_111,0.3366932,0.014177871,0.05063277,0.5984962
Test_112,0.008683135,0.060810097,0.13145378,0.799053
Test_113,0.14019804,0.07087964,0.69184583,0.09707646
Test_114,0.17848024,0.056815494,0.43337125,0.33133304
Test_115,0.047115907,0.0289099,0.5920284,0.33194575
Test_116,0.08725946,0.021923963,0.63689023,0.2539264
Test_117,0.3940592,0.018637434,0.204918,0.38238537
Test_118,0.013172811,0.010182819,0.3602302,0.6164142
Test_119,0.19941893,0.027875982,0.6198105,0.1528946
Test_120,0.0083385855,0.0071953977,0.9053214,0.07914463
Test_121,0.34712878,0.04830509,0.4131509,0.1914152
Test_122,0.025595037,0.012283994,0.6855802,0.27654076
Test_123,0.034630734,0.026893493,0.6314387,0.3070371
Test_124,0.58880836,0.02268729,0.11099164,0.27751276
Test_125,0.14055234,0.027531572,0.49081108,0.341105
Test_126,0.0011563447,0.013444698,0.9019116,0.0834873
Test_127,0.47032034,0.070780605,0.24884935,0.21004976
Test_128,0.50180835,0.026635036,0.2848983,0.18665834
Test_129,0.028828625,0.0638119,0.65485525,0.25250423
Test_130,0.036743253,0.0256286,0.8641549,0.07347332
Test_131,0.033459768,0.008155363,0.12809719,0.83028764
Test_132,0.051136095,0.010967992,0.035136547,0.9027594
Test_133,0.13639908,0.018011684,0.10751685,0.73807245
Test_134,0.12570511,0.0213485,0.37211403,0.4808324
Test_135,0.23700784,0.013222528,0.41900194,0.33076766
Test_136,0.59287834,0.009152551,0.09053549,0.30743355
Test_137,0.017429663,0.016320087,0.6611114,0.3051388
Test_138,0.27159464,0.019780692,0.2770105,0.43161413
Test_139,0.165488,0.034801185,0.60327154,0.19643922
Test_140,0.060094357,0.0295338,0.041023724,0.86934817
Test_141,0.03654839,0.012548823,0.89115274,0.059750073
Test_142,0.6020282,0.011633161,0.28438297,0.10195573
Test_143,0.7954247,0.012937301,0.07822774,0.11341021
Test_144,0.26625952,0.03749316,0.44179383,0.25445348
Test_145,0.03360531,0.036375053,0.66190964,0.26811
Test_146,0.014408443,0.0018611889,0.9715906,0.012139845
Test_147,0.550411,0.034382883,0.2608113,0.1543948
Test_148,0.48725548,0.0148522705,0.13080639,0.36708587
Test_149,0.007248834,0.0107057085,0.8119994,0.17004612
Test_150,0.00884489,0.20316541,0.578259,0.20973067
Test_151,0.03630987,0.020601192,0.92408234,0.019006552
Test_152,0.46544448,0.012764333,0.16042776,0.36136338
Test_153,0.049290616,0.008600097,0.05775834,0.88435096
Test_154,0.06995053,0.033769954,0.37267873,0.52360076
Test_155,0.8719617,0.0036240171,0.05202988,0.07238442
Test_156,0.75599474,0.013169852,0.15474151,0.076093994
Test_157,0.012516404,0.073430724,0.19711247,0.7169404
Test_158,0.35529307,0.02226375,0.45805666,0.16438648
Test_159,0.0059371768,0.018609002,0.44405285,0.531401
Test_160,0.03217427,0.084460326,0.6513178,0.2320477
Test_161,0.2845576,0.034717575,0.4081666,0.2725582
Test_162,0.29188362,0.013427442,0.2126659,0.48202312
Test_163,0.13484605,0.15832065,0.30746394,0.39936936
Test_164,0.017938908,0.006134048,0.939563,0.036364127
Test_165,0.03064327,0.0011694297,0.950888,0.017299442
Test_166,0.018688379,0.010819231,0.8115875,0.1589049
Test_167,0.12994692,0.045825392,0.634778,0.18944961
Test_168,0.46116033,0.015692396,0.2732401,0.24990712
Test_169,0.1611622,0.029756673,0.18395147,0.62512964
Test_170,0.043315396,0.033218887,0.8636163,0.059849493
Test_171,0.025337363,0.029542018,0.85768735,0.08743318
Test_172,0.37740275,0.004331628,0.53989685,0.078368805
Test_173,0.046363506,0.009831174,0.84791374,0.095891565
Test_174,0.1086528,0.017528614,0.7479724,0.12584616
Test_175,0.113303505,0.053345416,0.72046405,0.112887025
Test_176,0.08396353,0.043591194,0.1433346,0.72911066
Test_177,0.017849978,0.024501417,0.86488646,0.09276219
Test_178,0.06174262,0.07896417,0.100926615,0.7583666
Test_179,0.023059022,0.01080275,0.81541955,0.15071875
Test_180,0.071364455,0.052222595,0.6572474,0.21916546
Test_181,0.37936342,0.0073643313,0.37181225,0.24146011
Test_182,0.73163354,0.050779607,0.14678031,0.070806615
Test_183,0.51554614,0.0074112755,0.39951727,0.07752535
Test_184,0.09864957,0.009996827,0.72347474,0.1678788
Test_185,0.07876846,0.025433432,0.1556034,0.7401947
Test_186,0.38395706,0.02685313,0.39481804,0.19437188
Test_187,0.17153923,0.009865398,0.080340184,0.7382552
Test_188,0.0037565015,0.0026615567,0.9407394,0.052842584
Test_189,0.18930224,0.022298818,0.07731593,0.711083
Test_190,0.0995571,0.027713064,0.47469807,0.3980317
Test_191,0.36954537,0.014423755,0.5077912,0.10823973
Test_192,0.041241363,0.009803658,0.8331604,0.11579451
Test_193,0.14335829,0.007910198,0.4677281,0.38100338
Test_194,0.11390527,0.009374461,0.021554137,0.8551661
Test_195,0.10324015,0.015445601,0.070252426,0.8110618
Test_196,0.029089985,0.028974012,0.76103514,0.18090087
Test_197,0.7506551,0.00944158,0.15285163,0.087051734
Test_198,0.045540668,0.048321266,0.15036504,0.75577307
Test_199,0.2447273,0.015064398,0.50423974,0.23596857
Test_200,0.055120528,0.016696366,0.8286954,0.0994877
Test_201,0.53820235,0.033159595,0.28981885,0.13881919
Test_202,0.014110086,0.020411436,0.9047229,0.060755547
Test_203,0.025910815,0.046528902,0.509954,0.41760635
Test_204,0.012839265,0.09539863,0.6649883,0.2267738
Test_205,0.08009649,0.014513898,0.6426677,0.26272187
Test_206,0.71007013,0.0017344634,0.20495881,0.083236605
Test_207,0.2400097,0.063024186,0.22941369,0.46755245
Test_208,0.09395308,0.027817078,0.04402344,0.8342064
Test_209,0.4365597,0.007784203,0.4710519,0.0846042
Test_210,0.54341817,0.036392357,0.13568829,0.28450114
Test_211,0.1871814,0.0353491,0.2181268,0.5593427
Test_212,0.06288003,0.022781597,0.6850647,0.22927368
Test_213,0.062029935,0.104297355,0.12130168,0.71237105
Test_214,0.012872051,0.046678007,0.88282144,0.057628583
Test_215,0.14831087,0.030070709,0.24858363,0.5730348
Test_216,0.0310452,0.032907777,0.71582323,0.22022381
Test_217,0.13145052,0.021575972,0.75411576,0.09285779
Test_218,0.0049655796,0.003933146,0.95950633,0.031594988
Test_219,0.0052617006,0.010714678,0.96111405,0.02290958
Test_220,0.16042757,0.009145048,0.69386667,0.1365607
Test_221,0.792368,0.0037761638,0.16667265,0.03718323
Test_222,0.026768671,0.009766007,0.0083286455,0.95513666
Test_223,0.12561515,0.043796703,0.76224136,0.06834681
Test_224,0.28274938,0.062274784,0.45070776,0.20426808
Test_225,0.03818116,0.008570308,0.04980117,0.90344733
Test_226,0.080220215,0.025094466,0.8055603,0.08912506
Test_227,0.076476686,0.003425509,0.07754685,0.842551
Test_228,0.012035419,0.029533485,0.8865497,0.071881406
Test_229,0.18994285,0.0045348634,0.6893383,0.11618396
Test_230,0.018671894,0.023688173,0.86782867,0.08981123
Test_231,0.037526928,0.004685923,0.8398362,0.11795099
Test_232,0.1766774,0.035020452,0.25052682,0.5377753
Test_233,0.17136484,0.006532439,0.70356977,0.118532956
Test_234,0.09778409,0.06717771,0.21555004,0.6194882
Test_235,0.0005098824,0.0036694997,0.98266256,0.01315807
Test_236,0.113919415,0.022478016,0.7767619,0.08684073
Test_237,0.015730912,0.02528518,0.8680007,0.09098322
Test_238,0.66239065,0.005216171,0.2659676,0.06642563
Test_239,0.04928395,0.0141149415,0.6982494,0.23835169
Test_240,0.05687095,0.005431143,0.88786846,0.049829468
Test_241,0.0013661953,0.009940511,0.9558839,0.032809332
Test_242,0.06852231,0.027852671,0.18995883,0.7136662
Test_243,0.13187188,0.0068040444,0.7501181,0.11120594
