image_id,healthy,multiple_diseases,rust,scab
Test_0,0.31261992,0.039124027,0.24544264,0.40281337
Test_1,0.24071366,0.13867868,0.3641988,0.25640878
Test_2,0.13579851,0.03185622,0.15441486,0.6779304
Test_3,0.29036948,0.02228695,0.2472188,0.4401248
Test_4,0.2837787,0.062375624,0.32343453,0.3304112
Test_5,0.1627153,0.13549303,0.20362769,0.49816403
Test_6,0.13491185,0.0303405,0.7613489,0.07339869
Test_7,0.17272757,0.03710824,0.6706197,0.119544454
Test_8,0.18922879,0.041748133,0.75480646,0.014216676
Test_9,0.31575534,0.021325503,0.5931934,0.06972569
Test_10,0.24170199,0.108921096,0.4294135,0.2199635
Test_11,0.25076517,0.07440678,0.54266405,0.13216403
Test_12,0.68408555,0.020878468,0.18481843,0.11021764
Test_13,0.46479875,0.027108056,0.4401411,0.0679521
Test_14,0.13365357,0.19980466,0.47825167,0.18829004
Test_15,0.062769055,0.11177214,0.565553,0.25990573
Test_16,0.27224025,0.041941255,0.17371847,0.5121001
Test_17,0.23964655,0.060931433,0.46383387,0.23558824
Test_18,0.3031677,0.03758765,0.36336908,0.2958755
Test_19,0.14904359,0.10349982,0.69806343,0.049393147
Test_20,0.2260242,0.071811,0.66610014,0.036064595
Test_21,0.115356594,0.054282088,0.22027843,0.61008286
Test_22,0.2797671,0.06866002,0.52483827,0.12673455
Test_23,0.25355908,0.052795205,0.49694183,0.1967039
Test_24,0.17380458,0.076276824,0.14374255,0.6061761
Test_25,0.20228978,0.018187363,0.43225765,0.34726518
Test_26,0.25217497,0.0309356,0.6678991,0.048990395
Test_27,0.62262493,0.025557574,0.12296444,0.2288532
Test_28,0.40242112,0.031482857,0.43510383,0.13099223
Test_29,0.41795424,0.08253274,0.32616284,0.1733502
Test_30,0.46132675,0.050199896,0.36496302,0.12351034
Test_31,0.38256937,0.057694893,0.29479617,0.2649396
Test_32,0.344794,0.0670638,0.3682253,0.21991685
Test_33,0.339817,0.077907205,0.3829143,0.19936149
Test_34,0.3648335,0.04048576,0.51449937,0.08018139
Test_35,0.30786344,0.02914514,0.56895465,0.09403672
Test_36,0.2303742,0.0682511,0.49560228,0.20577236
Test_37,0.16194859,0.08317959,0.6377479,0.117123924
Test_38,0.31499326,0.03929367,0.5421218,0.10359125
Test_39,0.22290918,0.048316974,0.326271,0.40250286
Test_40,0.08462034,0.04142,0.85056704,0.023392595
Test_41,0.2764111,0.057041634,0.29259515,0.37395218
Test_42,0.17530729,0.060552612,0.67803115,0.086108975
Test_43,0.39048785,0.07140984,0.4623268,0.07577553
Test_44,0.4386414,0.043044586,0.21542858,0.3028854
Test_45,0.46153426,0.028774995,0.4830934,0.026597371
Test_46,0.26546782,0.070826456,0.6084898,0.055215962
Test_47,0.42537656,0.059788413,0.46038324,0.05445177
Test_48,0.572103,0.022727605,0.29779866,0.107370704
Test_49,0.18468161,0.043609798,0.6742253,0.09748332
Test_50,0.27754515,0.025473641,0.6700419,0.026939271
Test_51,0.34586245,0.061514296,0.45169124,0.14093204
Test_52,0.5223292,0.033624884,0.39951292,0.044532996
Test_53,0.24843158,0.05860133,0.61288667,0.08008042
Test_54,0.49344835,0.024864051,0.42513004,0.056557607
Test_55,0.29929876,0.12818068,0.21385527,0.35866532
Test_56,0.35495672,0.036535237,0.50993633,0.09857165
Test_57,0.08295653,0.02812715,0.13246375,0.75645256
Test_58,0.6323075,0.080472544,0.10825404,0.17896582
Test_59,0.6760807,0.026665552,0.24229164,0.05496219
Test_60,0.11379104,0.06665411,0.7747121,0.044842742
Test_61,0.5712026,0.03632535,0.2500717,0.1424004
Test_62,0.37849954,0.13861854,0.39756963,0.0853122
Test_63,0.5206895,0.041312147,0.29848662,0.13951178
Test_64,0.28009942,0.074828416,0.5861583,0.058913875
Test_65,0.17530656,0.08478299,0.4969498,0.24296056
Test_66,0.2573212,0.04483205,0.42443323,0.2734135
Test_67,0.09643933,0.044449374,0.08550919,0.7736021
Test_68,0.095268205,0.03238205,0.21363755,0.65871215
Test_69,0.13717782,0.058563773,0.3745627,0.42969567
Test_70,0.4211491,0.047247894,0.10404943,0.42755347
Test_71,0.0384675,0.009697745,0.9472401,0.004594613
Test_72,0.19509041,0.030213665,0.092173874,0.68252206
Test_73,0.11885526,0.107983455,0.67763644,0.09552482
Test_74,0.3487905,0.04303899,0.55140865,0.056761876
Test_75,0.116762094,0.055771347,0.78074175,0.04672473
Test_76,0.09844553,0.035917796,0.82016176,0.045474928
Test_77,0.11869742,0.08172022,0.708395,0.091187336
Test_78,0.15510118,0.057852764,0.74198925,0.045056764
Test_79,0.110991985,0.05705115,0.42590007,0.40605682
Test_80,0.25384697,0.090624645,0.507888,0.14764033
Test_81,0.09901592,0.059295397,0.6670141,0.17467448
Test_82,0.19372727,0.06043337,0.5839125,0.16192691
Test_83,0.30358967,0.17088109,0.32648063,0.1990486
Test_84,0.3543458,0.096959315,0.37833744,0.17035745
Test_85,0.40661713,0.12000086,0.33057904,0.14280298
Test_86,0.6470197,0.026276719,0.21911247,0.10759109
Test_87,0.3159168,0.05348383,0.5504122,0.08018717
Test_88,0.1412374,0.031155895,0.72965825,0.09794851
Test_89,0.29671112,0.06017939,0.037408326,0.60570115
Test_90,0.22338788,0.055447794,0.4712086,0.24995577
Test_91,0.080898926,0.009694814,0.1548505,0.7545557
Test_92,0.22329123,0.035661552,0.61374396,0.12730326
Test_93,0.045389127,0.06777234,0.8189129,0.06792564
Test_94,0.26530722,0.0707956,0.589448,0.074449204
Test_95,0.5285215,0.05214631,0.18827683,0.23105541
Test_96,0.24497643,0.0805404,0.2839373,0.39054587
Test_97,0.45729896,0.024500301,0.39998016,0.11822056
Test_98,0.061824735,0.01624231,0.07453424,0.8473987
Test_99,0.6475336,0.030017529,0.25975507,0.062693805
Test_100,0.23687956,0.017963933,0.07591213,0.6692444
Test_101,0.30457744,0.09192401,0.4572841,0.14621441
Test_102,0.3792657,0.09360426,0.23036571,0.2967643
Test_103,0.13696833,0.017589627,0.7577346,0.08770739
Test_104,0.3386624,0.0804514,0.4271375,0.15374863
Test_105,0.1787811,0.04139577,0.5688,0.21102312
Test_106,0.01523097,0.025251864,0.034468044,0.9250491
Test_107,0.6125645,0.032156732,0.17445965,0.1808192
Test_108,0.03809811,0.05499819,0.55486614,0.35203755
Test_109,0.17157774,0.05059293,0.5376147,0.24021454
Test_110,0.2924239,0.07226691,0.56798977,0.06731947
Test_111,0.44492605,0.02024729,0.41005304,0.12477359
Test_112,0.11589387,0.112304345,0.63285154,0.13895017
Test_113,0.06736626,0.029722337,0.029621555,0.8732899
Test_114,0.16991639,0.0834647,0.7016485,0.044970427
Test_115,0.3957007,0.038235378,0.50437367,0.061690234
Test_116,0.4419827,0.11598221,0.22072174,0.22131334
Test_117,0.4145787,0.08805408,0.19073452,0.3066327
Test_118,0.5822775,0.14563514,0.18363528,0.08845206
Test_119,0.3873243,0.037299365,0.47010458,0.10527176
Test_120,0.1788133,0.077048324,0.5532188,0.19091962
Test_121,0.36979046,0.054355837,0.2957926,0.280061
Test_122,0.14004025,0.027598219,0.66449386,0.16786766
Test_123,0.43256953,0.08136685,0.2768205,0.20924309
Test_124,0.04604248,0.060252737,0.66273403,0.2309708
Test_125,0.35375646,0.033186913,0.5901249,0.022931788
Test_126,0.2096386,0.12780158,0.47613865,0.18642119
Test_127,0.21599425,0.16664857,0.34415233,0.2732048
Test_128,0.20393795,0.06768812,0.5462621,0.18211181
Test_129,0.040009864,0.09666381,0.7808096,0.08251681
